课程代码,课程名称,课程英文名称,学分,周学时,总学时,课程类别,课程类型,开课部门,课程归属,课程标识,认定类别,是否允许申请免听,是否允许补考,建议修读年级,是否荣誉课程,是否竺可桢学院课程,是否体育分项,对应课程代码
BIO0600G,基因的突变和进化（A）,The mutation and evolution of genes(A),1.5,1.5-0.0,24,通识,理论含讨论,生命科学学院,生命探索,普通通识课程,,不得申请免听,是,0,否,否,否,0716N001
BIO0601G,生命教育概论,Introduction of Life Education,1.5,1.5-0.0,24,通识,理论含讨论,生命科学学院,生命探索,普通通识课程,,不得申请免听,是,0,否,否,否,0716N002
BIO0602G,生物信息学导论,Bioinformatics Introduction,1.5,1.0-1.0,32,通识,理论含实验（训练）课,生命科学学院,生命探索,普通通识课程,,可以申请免听,否,0,否,否,否,0716N004
BIO0603G,生命科学导论,An Introduction of Life Sciences,2.0,1.5-1.0,40,通识,理论含讨论,生命科学学院,生命探索,普通通识课程,,不得申请免听,是,0,否,否,否,0716N007
BIO0700G,基础植物克隆技术与应用,Fundamentals of plant cloning technology and applications,1.5,1.0-1.0,32,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,是,0,否,否,否,0717N001
BIO0701G,生活中的微生物发酵实验,In the life of the Microbial Fermentation Experiments,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N002
BIO0702G,生命科学导论实验,The life science introduction tests,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N003
BIO0703G,校园植物识别与标本制作,The campus plant identifies to create with specimen,1.0,0.5-1.0,24,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N004
BIO0704G,多彩的菌菇世界,Colorful mushroom world,1.0,0.5-1.0,24,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N005
BIO0705G,生态学大实验,Experimentation of Ecology,1.0,0.0-2.0,32,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N006
BIO0706G,人体代谢与健康,Experiments of Human Metabolism and Health,1.0,0.5-1.0,24,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N007
BIO0707G,合成生物学,Synthetic Biology in the Lab,1.0,0.5-1.0,24,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N008
BIO0708G,大型真菌生产技术实践,Production Practice of Macrofungus,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,博雅技艺,普通通识课程,劳育类,不得申请免听,否,0,否,否,否,
BIO0900G,生命科学,Life Science,3.0,2.0-2.0,64,通识,理论含讨论,生命科学学院,生命探索,通识核心课程,,不得申请免听,否,0,否,否,否,0716S001
BIO1001G,大学生物学,College Biology,3.0,2.0-2.0,64,通识,理论含讨论,生命科学学院,自然科学通识类,,,不得申请免听,否,1,否,否,否,071T0010
BIO1002G,大学生物学实验,Experiment in College Biology,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,自然科学通识类,,,不得申请免听,否,1,否,否,否,071T0020
BIO1003G,生命科学导论,An Introduction of Life Sciences,2.0,1.5-1.0,40,通识,理论含讨论,生命科学学院,自然科学通识类,,,不得申请免听,否,1,否,否,否,071T0030
BIO1004G,生命科学导论实验,Experiment of introduction to life sciences,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,自然科学通识类,,,不得申请免听,否,1,否,否,否,071T0040
BIO1109GH,生命科学导论（H）,Introduction to Life Sciences (H),3.0,2.0-2.0,64,通识,理论含实验（训练）课,生命科学学院,自然科学通识类,,,不得申请免听,否,1,是,是,否,071R6010
BIO2005F,动物学及实验（甲）,Zoology and Experiment (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0010
BIO2006F,普通生物学及实验,General Biology and Lab Experiments,4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0020
BIO2007F,生态学及实验（甲）,Ecology and Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0031
BIO2008F,生态学及实验（乙）,Ecology and Experiment (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0032
BIO2009F,微生物学及实验（甲）,Microbiology and Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0041
BIO2010F,微生物学及实验（乙）,Microbiology and Experiments (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0042
BIO2011F,生物化学（甲）,Biochemistry (A),4.0,4.0-0.0,64,专业基础课程,理论课,生命科学学院,,,,可以申请免听,否,2,否,否,否,071B0051
BIO2012F,生物化学实验（甲）,Experiments of Biochemistry (A),2.0,0.0-4.0,64,专业基础课程,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0061
BIO2013F,生物化学实验,Biochemistry Lab,1.5,0.0-3.0,48,专业基础课程,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0062
BIO2014F,生物化学及实验（丙）,Biochemistry and Experiment (C),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0070
BIO2017F,植物生理学及实验（甲）,Plant Physiology & Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0091
BIO2018F,植物生理学及实验（乙）,Plant Physiology & Experiment (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0092
BIO2019F,植物学及实验（甲）,Botany and Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0101
BIO2020F,植物学及实验（乙）,Botany and Experiments (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,071B0102
BIO2021F,生物化学（乙）,Biochemistry (B),4.0,4.0-0.0,64,专业基础课程,理论课,生命科学学院,,,,可以申请免听,否,2,否,否,否,07110010
BIO2022F,生物化学实验（乙）,Lab. of Biochemistry (B),2.0,0.0-4.0,64,专业基础课程,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07110022
BIO2023M,分子生物学（甲）,Molecular Biology (A),3.0,3.0-0.0,48,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,否,否,07120041
BIO2024M,分子生物学（乙）,Molecular Biology (B),2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,否,否,07120042
BIO2027M,生态学,Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,否,否,07120780
BIO2028M,生态学基础及实验,Basic Ecology And Experiments,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07120830
BIO2029M,分子生物学及实验,Molecular Biology & Experiment,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07120940
BIO2033MZ,生物化学,Biochemistry,4.0,4.0-0.0,64,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,是,否,071Q0006
BIO2034MZ,生物化学实验Ⅱ,Biochemistry Experiment(B),1.0,0.0-2.0,32,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,是,否,071Q0008
BIO2035FZ,人工智能与生命科学,AI and Life Sciences,3.0,3.0-0.0,48,专业基础课程,理论课,生命科学学院,,,,不得申请免听,否,2,否,是,否,071Z0020
BIO2042MZ,生物化学实验,Biochemistry Experiment,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,是,否,071Q0020
BIO2043MZ,生命科学概论Ⅱ,Overview of Life Science Ⅱ,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,是,否,071Q0002
BIO2048M,生物信息与数据处理,Biological Information And Data Management,3.0,+3,96,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07120120
BIO2068M,种群生态学,Population Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,2,否,否,否,07120840
BIO2078M,动物学野外实习,Field Practice For Zoology,1.0,+1,32,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07188010
BIO2079M,植物学野外实习,Field Practice For Botany,1.0,+1,32,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07188100
BIO2080M,发酵工程技能训练,Technology Training Of Fermentation Engineering,3.0,+3,96,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07188111
BIO2085M,生物学综合野外实习,Integrated Field Course Of Biology,3.0,+3,96,专业课,实习课,生命科学学院,,,劳育类,不得申请免听,否,2,否,否,否,07188190
BIO2086M,野外生态学,Field Ecology,2.0,+2,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07188210
BIO2105M,生态学与生态文明研究进展,Advances In Ecology And Ecological Civilization,1.0,1.0-0.0,16,专业课,理论课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07192420
BIO2106M,生命科学进展,Advances In Life Sciences,1.0,1.0-0.0,16,专业课,理论课,生命科学学院,,,,不得申请免听,否,2,否,否,否,07192430
BIO2110F,微生物学（甲）,Microbiology (A),3.0,3.0-0.0,48,专业基础课程,理论课,生命科学学院,,,,不得申请免听,是,2,否,否,否,
BIO2112F,微生物学（乙）,Microbiology (B),2.0,2.0-0.0,32,专业基础课程,理论课,生命科学学院,,,,不得申请免听,是,2,否,否,否,
BIO2113F,微生物学实验,Microbiology Experiments,1.0,0.0-2.0,32,专业基础课程,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,2,否,否,否,
BIO3015F,细胞生物学及实验（甲）,Cell Biology & Experiments (A),4.0,3.0-2.0,80,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,071B0081
BIO3016F,细胞生物学及实验（乙）,Cell Biology & Experiments (B),3.0,2.0-2.0,64,专业基础课程,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,071B0082
BIO3025M,生物信息学,Bioinformatics,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120660
BIO3026M,遗传学及实验,Genetics & Experiments,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120710
BIO3030M,生物物理学,Biophysics,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,不得申请免听,是,3,否,否,否,07120970
BIO3036MZ,细胞生物学,Cell Biology,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,3,否,是,否,071Q0010
BIO3037MZ,遗传学,Genetics,4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,3,否,是,否,071Q0011
BIO3038MZ,发育生物学,Developmental biology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,是,否,071Q0012
BIO3039MZ,神经生物学,Neurobiology,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,是,3,否,是,否,071Q0013
BIO3040MZ,分子生物学,Molecular Biology,3.0,3.0-0.0,48,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,是,否,071Q0017
BIO3041MZ,生态学,Ecology,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,是,否,071Q0018
BIO3045M,动物生理学及实验（甲）,Animal Physiology And Experiments (A),4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120021
BIO3046M,植物科学研究技术,Techniques In Plant Sciences,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120030
BIO3047M,基因工程,Genetic Engineering,1.5,1.5-0.0,24,专业课,理论课,生命科学学院,,,,可以申请免听,否,3,否,否,否,07120060
BIO3050M,动物行为学原理,Theory Of Animal Behavior Science,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120190
BIO3051M,微生物学研究技术,Research Techniques In Microbiology,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120210
BIO3052M,微生物分子生物学,Microbial Molecular Biology,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120220
BIO3053M,神经生物学,Neurobiology,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120250
BIO3055M,环境生物学,Environmental Biology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120290
BIO3056M,生物学数据库及实验,Biological Database And Experiment,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120371
BIO3057M,细胞工程,Cell Biotechnology,1.5,1.5-0.0,24,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120390
BIO3058M,计算生物学导论,Introduction Of Computational Biology,2.5,2.0-1.0,48,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,否,3,否,否,否,07120460
BIO3060M,蛋白质组学,Proteomics,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120590
BIO3061M,高级生物化学,Advanced Biochemistry,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120600
BIO3062M,生物数据挖掘与知识发现,Biological Data Mining & Knowledge Discovery,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120640
BIO3065M,序列与基因组分析,Sequence And Genome Analysis,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,可以申请免听,否,3,否,否,否,07120700
BIO3066M,英语口语,Oral English,1.5,1.5-0.0,24,专业课,理论课,生命科学学院,,,,不得申请免听,是,3,否,否,否,07120760
BIO3069M,生态系统学,Ecosystem Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120860
BIO3070M,保护生物学（甲）,Conservation Biology (A),4.0,3.0-2.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120871
BIO3071M,代谢生态学及实验,Metabolic Ecology And Experiments,3.0,2.0-2.0,64,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120880
BIO3072M,群落与生态系统生态学,Population And Ecosystem Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120910
BIO3073M,全球变化生态学,Global Change Ecology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120920
BIO3074M,病理分子生物学,Molecular Pathology,1.5,1.5-0.0,24,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07120950
BIO3075M,工程生物学,Engineering Biology,1.5,1.5-0.0,24,专业课,理论课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120960
BIO3076M,生物物理与仪器分析,Biophysics And Instrumental Analysis,3.0,3.0-0.0,48,专业课,理论课,生命科学学院,,,,不得申请免听,是,3,否,否,否,07120980
BIO3077M,生物物理与仪器分析实验,Biophysics And Instrumental Analysis Experiments,2.0,0.0-4.0,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07120990
BIO3081M,基因工程技能训练,Technical Training Of Gene Engineering,3.0,+3,96,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07188121
BIO3082M,细胞工程技能训练,Technology Training Of Cell Engineering,3.0,+3,96,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07188141
BIO3084M,科研实践,Scientific Research Practice,2.0,+2,64,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07188181
BIO3088M,进化生物学,Evolutionary Biology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07190040
BIO3089M,合成生物学,Synthetic Biology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07190250
BIO3090M,免疫学,Immunology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07191040
BIO3091M,病毒学,Virology,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07191050
BIO3092M,生物制药学,Biopharmaceutics,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07191110
BIO3093M,生物显微和超微技术,Microscopic Technique And Ultramicroscopy,3.0,1.0-4.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07192090
BIO3094M,分子杂交技术（含基因芯片）,An Introduction To Molecular Hybridization,3.0,1.0-4.0,80,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07192100
BIO3095M,免疫学技术,Techniques In Immunology,3.0,0.0-6.0,96,专业课,独立设置实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07192120
BIO3096M,天然成份分离鉴定技术,Natural Products Isolation And Identification Technology,3.0,0.0-6.0,96,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07192130
BIO3097M,生物仪器分析及技术,Bioinstrumentation Analysis & Technology,2.0,1.5-1.0,40,专业课,理论含实验（训练）课,生命科学学院,,,,不得申请免听,否,3,否,否,否,07192150
BIO3099M,植物化学与天然药物分析,Phytochemistry And Natural Pharmaceutical Analysis,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07192270
BIO3100M,植物系统与分子进化,Plant Systematics And Molecular Evolution,2.0,2.0-0.0,32,专业课,理论课,生命科学学院,,,,可以申请免听,是,3,否,否,否,07192280
