课程代码,课程名称,课程英文名称,学分,周学时,总学时,课程类别,课程类型,开课部门,课程归属,课程标识,认定类别,是否允许申请免听,是否允许补考,建议修读年级,是否荣誉课程,是否竺可桢学院课程,是否体育分项,对应课程代码,课程简介
BIO0600G,基因的突变和进化（A）,The mutation and evolution of genes(A),1.5,1.5-0.0,24,通识,理论含讨论,生命科学学院,生命探索,普通通识课程,,不得申请免听,是,0,否,否,否,0716N001,"本课程主要介绍关于基因的科学知识。内容包括：（1）基因的概念；（2）基因和染色体的关系；（3）基因的传递规律；（4）基因组和基因组学；（5）基因突变的原因、类型和效应；（6）染色体变异和表观遗传变异；（7）基因与自然选择；（8）人种起源和东亚人起源."
BIO0601G,生命教育概论,Introduction of Life Education,1.5,1.5-0.0,24,通识,理论含讨论,生命科学学院,生命探索,普通通识课程,,不得申请免听,是,0,否,否,否,0716N002,"自从1968年美国学者唐纳-华特士提出生命教育以来，生命教育课程已在许多国家得到开展。西方国家的生命教育主要致力于控制药物和毒品滥用，预防暴力及艾滋病，我国大陆地区的生命教育才刚开始不久，还主要局限于哲学层面的研究和教学，致力于人生意义、自杀防止等内容的教育，本课程尝试从生命科学角度对生命的发生及进化、感染性疾病的预防及治疗、食品药物环境等理化因子对生命健康的影响、环境及生物多样性保护等问题进行探讨，通过课程的学习，教育学生正确认识生命的本质、理解生命的意义、提升生命的价值，以达到热爱生命、尊重生命、发展生命，保护环境、构建生命与自然命运共同体等目的。"
BIO0602G,生物信息学导论,Bioinformatics Introduction,1.5,1.0-1.0,32,通识,理论含实验（训练）课,生命科学学院,生命探索,普通通识课程,,可以申请免听,否,0,否,否,否,0716N004,"本课程介绍生物信息学的历史、发展、进展以及最新动态内容；分专题概述生物信息学核心内容、相关方法技术及热点问题，包括生物学数据与数据库资源、基因组计划与大数据、基因组注释、转录组表达与调控、蛋白拓扑与功能、生物网络与系统生物学，合成生物学以及生物信息学中的计算机环境等主要的方法与技术，开拓知识面，促进交叉思维。并通过上机实验学习与训练，使学生能够掌握并使用生物信息学网络资源和相关的技能。课程将采取知识点授课、研讨与上机训练相结合的方式进行。"
BIO0603G,生命科学导论,An Introduction of Life Sciences,2.0,1.5-1.0,40,通识,理论含讨论,生命科学学院,生命探索,普通通识课程,,不得申请免听,是,0,否,否,否,0716N007,"课程引进朱玉贤院士领衔主讲的《大学生物学》MOOC课程，采用线上学习和线下讨论相结合的教学模式。课程内容涵盖动物学、植物学、微生物学、细胞生物学、遗传学、生物化学、分子生物学、生理学、免疫学、生物演化、生物技术、生物信息学、生态学与保护生物学等生命科学领域的重要知识。课程旨在让非生物类专业学生了解生物学丰富多彩的世界，认识生物学与人类健康、生活、环境的密切关系。《生命科学导论》面向非生物学相关专业学生。生物学相关专业学生主要包括：理科试验班类（生命、环境、化学与地学）、海洋科学、应用生物科学（农学）、应用生物科学（生工食品）、医学试验班、预防医学、药学类、工科试验班（能源、化工与高分子）意向生物工程专业、工科试验班（信息）意向生物医学工程专业的学生。"
BIO0700G,基础植物克隆技术与应用,Fundamentals of plant cloning technology and applications,1.5,1.0-1.0,32,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,是,0,否,否,否,0717N001,"本课程本着通识教育的理念，以实验操作为主，从实验中理解植物细胞的全能性、植物细胞脱分化和再分化基本原理。课程注重交叉学科的特点，在学生掌握基本的组培技术的前提下，重点阐述新材料、新技术在植物克隆中的应用。同时通过实验训练，培养学生科研基本技能，为今后学生进一步深造和创业提供一条行途径。"
BIO0701G,生活中的微生物发酵实验,In the life of the Microbial Fermentation Experiments,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N002,"中文简介 发酵是延续了三千多年的传统技能，其产品已深深融入了我们生活的方方面面。在现代微生物技术的支撑下，传统发酵产品得到了长足的发展。本课程是以与我们生活密切相关的发酵制品为目标，学习、体验司康、面包、酸奶、米酒（或精酿啤酒）及披萨等发酵制品的制作及品评，了解发酵背后的相关科学、知识、技能及相关的传统文化。体验传统发酵之美。 本课程涉及了食品发酵中的主要菌种类型，主要有面团的面包酵母发酵（司康、面包和披萨）、麦芽糖化液的啤酒酵母发酵（精酿啤酒）、牛奶的乳酸菌发酵（酸奶）、大米的真菌糖化及发酵（米酒）等；在发酵方式上，有固体发酵（面团发酵）、液体静止发酵（精酿啤酒）及固液混合静止发酵（米酒），使学生能对发酵有一个比较全面的了解。"
BIO0702G,生命科学导论实验,The life science introduction tests,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N003,"该课程是生命科学实验类课程。实验内容由动物学、植物学、微生物学、生理学、生化检测、核酸、蛋白质与基因扩增和植物组织培养等八个单元的若干个实验组成，每个单元为4学时。选修该课程的学生可到生物实验中心的选课系统中，自行选择８个单元的实验时间。"
BIO0703G,校园植物识别与标本制作,The campus plant identifies to create with specimen,1.0,0.5-1.0,24,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N004,"该课程是以实践为主的科普类植物分类课程，目的是使无任何植物学基础的学生能使用植物分类检索表鉴定植物种类。具体教学内容包含被子植物分类的形态学术语学习（茎、叶、花、果实和种子）；花的解剖、花程式的书写及植物检索表的使用；认识100种左右的常见校园植物；学习规范制作植物腊叶标本和植物精细解剖特征组图；制作植物贴画和叶脉书签。"
BIO0704G,多彩的菌菇世界,Colorful mushroom world,1.0,0.5-1.0,24,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N005,"千姿百态的菌菇组成了多彩的大型真菌王国，它们当中有的被誉为“人间仙草”，有的被称为“美丽杀手”，有的带着神奇的传说……，背后有无穷的生命奥秘留待探究。 本课程借助大量实物、标本、图片及室外考察，讲解大型真菌的形态特征、分类方法、生物学功能，阐述生物多样性的神奇；通过直接参与多种食药用菌的接种、栽培操作，全程认识这些神奇山珍从单细胞种子到大型子实体的成长过程，学习其营养与生长机理，体验孕育生命的快乐；通过实验室演示、栽培基地和生物制药工厂的观摩，讲解对食药用菌资源的开发进程，了解菌菇与我们生活中膳食、养生、保健的息息相关的联系，并介绍我国古老而神秘的菇民部落丰富多彩的菌菇文化。"
BIO0705G,生态学大实验,Experimentation of Ecology,1.0,0.0-2.0,32,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N006,"生态学大实验课程主要围绕生物个体与环境的关系、生物种群特征、种间相互作用关系、群落物种多样性特征和生态系统元素循环等方面设计教学内容，课程包括课堂实验和自主实验两大方面。课堂实验包括生物个体对环境变化的响应、种群增长规律及环境的影响、种间相互作用规律及环境调节、群落物种多样性观察和生态系统元素的互补循环利用。自主实验由教师给出主题，学生设计实验并完成。"
BIO0706G,人体代谢与健康,Experiments of Human Metabolism and Health,1.0,0.5-1.0,24,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N007,"本课程主要涉及三个方面的内容：一、介绍与人体代谢和细胞代谢相关的理论知识和科学发现历程，使学生对生命代谢有基本认识。二、通过实验实践教学，让学生在实验中去发现和认识发生在细胞和人体中的生化代谢事件，包括糖代谢、脂代谢、微量元素及维生素代谢、细胞代谢等，更深入理解代谢的过程与特征，进而对生命的代谢本质引发思考讨论。三、介绍代谢类疾病带来的危害，结合自身情况，正确认识各种影响健康的危险因素，并就自我健康管理进行探讨。课程将采用理论、实验与讨论相结合的方法。"
BIO0707G,合成生物学,Synthetic Biology in the Lab,1.0,0.5-1.0,24,通识,理论含实验（训练）课,生命科学学院,博雅技艺,普通通识课程,,不得申请免听,否,0,否,否,否,0717N008,"合成生物学是指秉持“工程化、标准化”的理念，通过构建人工设计的生物系统，来解决能源、材料、环保和健康等问题的学科，是建立在生物学实验基础上的“工程学科”。本课程将在介绍合成生物学基本概念的基础上，对学生进行系统的合成生物学基础实验训练。课程前期的指定性实验部分将培养学生建立合成生物学实验的基本概念、了解和掌握合成生物学实验的基本流程和基本操作；课程后期的自主性实验，将充分发挥学生的主观能动性，教师提供biobricks 和 parts，要求学生自主设计和构建一个具有一定功能的生物系统。"
BIO0708G,大型真菌生产技术实践,Production Practice of Macrofungus,1.0,0.0-2.0,32,通识,独立设置实验（训练）课,生命科学学院,博雅技艺,普通通识课程,劳育类,不得申请免听,否,0,否,否,否,,"大型真菌产业是变废为宝的循环经济，是我国的现代农业的新兴产业，也是我国生态农业建设中不可或缺的组成部分，更在实施乡村振兴战略中发挥着重要作用。课程以新农科教育和劳动教育为背景，围绕大型真菌生产，连通知识与技能，融合科技与产业，兼顾传承与创新，结合劳动教育与生产生活实践，为学生提供丰富多样的劳动实践活动。在校园、实验室、温室、作坊、现代化工厂等多场景中，学生通过劳动实践和动手操作，学习与体验从野外调查、标本采集、菌种分离、菌种制作、栽培管理、发菌管理、出菇管理、采收及采后管理、产品加工、深加工的全过程。在实践中掌握大型真菌栽培的基本知识与技术，感悟劳动的快乐与价值。"
